Shape,Result,Number,Time
<http://example.org/lungCancer/shapes/Protocol2>,valid,573,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,376,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,26,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,428,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,244,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,416,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,213,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,90,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,315,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,372,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,28,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,128,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,76,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,615,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,20,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,91,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,107,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,478,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,95,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,357,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,136,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,569,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,165,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,150,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,210,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,162,2.7880051136016846
